time,yaw_master,Roll_master,Pitch_master,yaw_slave,Roll_slave,Pitch_slave,yaw_diff,Roll_diff,Pitch_diff,speed,limit_angle,limit_time
59174,0.00,26.47,-0.24,0.00,7.67,-14.78,0.00,18.80,14.54,0.00,80.00,3.00
59198,0.00,26.47,-0.32,0.00,8.16,-15.00,0.00,18.31,14.68,0.00,80.00,3.00
59223,359.51,26.38,-0.04,359.93,8.21,-15.01,0.42,18.17,14.97,0.00,80.00,3.00
59247,359.12,26.29,0.23,359.65,8.13,-15.06,0.54,18.16,15.29,0.00,80.00,3.00
59271,358.70,26.22,0.44,359.56,7.96,-15.09,0.86,18.25,15.53,0.00,80.00,3.00
59298,358.54,26.14,0.41,359.52,7.79,-15.11,0.97,18.34,15.53,0.00,80.00,3.00
59322,358.41,26.07,0.41,359.51,7.34,-15.16,1.09,18.73,15.57,0.00,80.00,3.00
59346,358.27,26.01,0.39,359.38,7.10,-15.25,1.10,18.91,15.65,0.00,80.00,3.00
59371,358.15,25.93,0.40,359.35,6.98,-15.28,1.20,18.96,15.68,0.00,80.00,3.00
59395,357.91,25.93,0.38,359.27,6.85,-15.30,1.36,19.08,15.68,0.00,80.00,3.00
59419,357.72,25.93,0.35,359.18,6.73,-15.33,1.46,19.20,15.67,0.00,80.00,3.00
59443,357.60,25.91,0.32,358.95,6.55,-15.41,1.34,19.35,15.74,0.00,80.00,3.00
59470,357.53,25.87,0.32,358.82,6.42,-15.51,1.30,19.45,15.83,0.00,80.00,3.00
59494,357.52,25.83,0.43,358.76,6.41,-15.54,1.24,19.41,15.97,0.00,80.00,3.00
59518,357.36,25.91,0.27,358.69,6.40,-15.57,1.33,19.51,15.85,0.00,80.00,3.00
59543,357.60,25.88,0.07,358.62,6.37,-15.60,1.02,19.51,15.68,0.00,80.00,3.00
59567,357.77,25.83,0.18,358.43,6.40,-15.67,0.66,19.42,15.85,0.00,80.00,3.00
59591,358.05,25.80,0.18,358.31,6.73,-15.71,0.26,19.07,15.89,0.00,80.00,3.00
59615,358.38,25.84,0.09,358.83,6.62,-15.63,0.45,19.22,15.72,0.00,80.00,3.00
59642,358.87,25.89,-0.01,358.88,6.50,-15.53,0.01,19.39,15.52,0.00,80.00,3.00
59666,359.74,25.94,-0.13,359.02,6.31,-15.48,0.72,19.63,15.36,0.00,80.00,3.00
59690,0.90,25.96,-0.18,359.16,6.29,-15.60,1.74,19.67,15.42,0.00,80.00,3.00
59715,3.06,26.01,-0.29,359.13,6.27,-15.69,3.93,19.74,15.40,0.00,80.00,3.00
59739,5.69,26.03,-0.33,358.80,6.33,-15.68,6.89,19.71,15.35,0.00,80.00,3.00
59763,8.48,26.03,-0.30,358.72,6.35,-15.65,9.76,19.68,15.35,0.00,80.00,3.00
59789,11.31,26.03,-0.27,358.23,6.42,-15.63,13.08,19.61,15.36,0.00,80.00,3.00
59814,14.07,26.03,-0.23,358.46,6.43,-15.43,15.61,19.60,15.20,0.00,80.00,3.00
59838,16.63,26.04,-0.25,358.35,6.43,-15.29,18.28,19.61,15.04,0.00,80.00,3.00
59862,19.07,26.05,-0.26,357.50,6.29,-15.33,21.56,19.76,15.07,0.00,80.00,3.00
59887,21.22,26.07,-0.27,357.52,6.29,-15.33,23.70,19.78,15.06,0.00,80.00,3.00
59911,23.21,26.11,-0.39,357.53,6.36,-15.37,25.68,19.75,14.99,0.00,80.00,3.00
59935,24.96,26.16,-0.47,357.24,6.40,-15.45,27.72,19.76,14.97,0.00,80.00,3.00
59962,26.55,26.21,-0.56,356.74,6.29,-15.58,29.81,19.92,15.01,0.00,80.00,3.00
59986,28.05,26.22,-0.62,356.06,6.18,-15.72,31.98,20.04,15.10,0.00,80.00,3.00
60010,29.49,26.23,-0.66,355.60,6.01,-15.79,33.89,20.22,15.13,0.00,80.00,3.00
60034,30.89,26.21,-0.60,355.86,5.86,-15.71,35.03,20.35,15.11,0.00,80.00,3.00
60059,32.30,26.18,-0.53,355.68,5.76,-15.74,36.62,20.42,15.21,0.00,80.00,3.00
60083,0.00,26.05,-0.37,0.00,5.64,-15.77,0.00,20.41,15.40,0.00,80.00,3.00
60107,0.00,25.93,-0.17,0.00,5.72,-15.71,0.00,20.21,15.54,0.00,80.00,3.00
60134,0.00,25.96,-0.22,0.00,5.91,-15.62,0.00,20.06,15.41,0.00,80.00,3.00
60158,0.00,25.92,-0.14,0.00,6.04,-15.58,0.00,19.88,15.44,0.00,80.00,3.00
60182,0.00,25.89,-0.04,0.00,6.22,-15.56,0.00,19.67,15.52,0.00,80.00,3.00
60207,0.00,25.94,-0.07,0.00,6.29,-15.58,0.00,19.65,15.51,0.00,80.00,3.00
60231,0.00,25.94,-0.03,0.00,6.33,-15.57,0.00,19.62,15.54,0.00,80.00,3.00
60255,0.00,25.94,0.01,0.00,6.32,-15.53,0.00,19.62,15.54,0.00,80.00,3.00
60290,0.00,26.01,-0.11,0.00,6.19,-15.56,0.00,19.82,15.44,0.00,80.00,3.00
60316,0.00,26.07,-0.24,0.00,6.10,-15.60,0.00,19.97,15.36,0.00,80.00,3.00
60341,0.00,26.14,-0.36,0.00,6.00,-15.64,0.00,20.14,15.28,0.00,80.00,3.00
